datetime,track name,artist,album name,track duration,abum image url,spotify url,spotify track id,genre,track playing,tempo,acousticness,livelines,danceability,speechiness,loudness,energy,instrumentalness
2018-12-24 20:11:12,Rockin' Around the Christmas Tree,Various Artists,Now That's What I Call Christmas,125800,https://i.scdn.co/image/7c4d1ed72d932242dd1bc53ae57acaf98f084862,https://open.spotify.com/track/61lyhMVhuGEANQW9ty4QDL,spotify:track:61lyhMVhuGEANQW9ty4QDL,christmas,TRUE,141.371,0.672,0.505,0.705,0.0389,-8.812,0.482,0
2018-12-24 20:13:19,Do They Know It's Christmas?,Various Artists,Christmas Music 100 Hits,229453,https://i.scdn.co/image/ff334377b36b6d12a979671dfbf0a2ef09d39c1c,https://open.spotify.com/track/6Z7nSvnAhMasviVPmdEZKC,spotify:track:6Z7nSvnAhMasviVPmdEZKC,christmas,TRUE,115.111,0.167,0.0993,0.591,0.0398,-5.377,0.708,0.000113
2018-12-24 20:17:09,Last Christmas,Wham!,LAST CHRISTMAS,262960,https://i.scdn.co/image/e106efaf6cfa29007b6f111c4137e3b56219946c,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,christmas,TRUE,107.682,0.189,0.355,0.735,0.0293,-12.472,0.478,0.00000248
2018-12-24 20:17:09,Last Christmas,Wham!,LAST CHRISTMAS,262960,https://i.scdn.co/image/e106efaf6cfa29007b6f111c4137e3b56219946c,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,spotify:track:2FRnf9qhLbvw8fu4IBXx78,christmas,TRUE,107.682,0.189,0.355,0.735,0.0293,-12.472,0.478,0.00000248
2018-12-24 20:21:37,Driving Home for Christmas,Chris Rea,New Light Through Old Windows,239946,https://i.scdn.co/image/f489aa03ab4afe20b3586e463812cd70eb1f0919,https://open.spotify.com/track/0ZoHHROTzwIYeNAHRPedTY,spotify:track:0ZoHHROTzwIYeNAHRPedTY,christmas,TRUE,90.12,0.556,0.342,0.603,0.0328,-7.547,0.705,0.000123
2018-12-24 20:25:37,Happy Xmas (War Is Over) - Remastered,John Lennon,Power To The People - The Hits,213880,https://i.scdn.co/image/2b8d8b3d509bf68a05aad85b8bbbc714b1d15bf2,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,spotify:track:3zJw3rugfpVrmBeDDnUYzy,christmas,TRUE,146.539,0.319,0.765,0.328,0.0315,-11.076,0.607,0
2018-12-24 20:29:11,Santa Tell Me,Ariana Grande,Santa Tell Me,204093,https://i.scdn.co/image/7ba198319ccb9ab4f24f6dac90a59c3e49a5cd84,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,spotify:track:1ADjWm8QNhgNV8yCNNgQ1T,christmas,TRUE,132.96,0.0464,0.295,0.464,0.182,-7.337,0.63,0
2018-12-24 20:32:36,It's Beginning To Look A Lot Like Christmas,Michael Bublé,Christmas,206346,https://i.scdn.co/image/5f828e84beaefc8c0539ca558f849e8549e8778c,https://open.spotify.com/track/4Dgp0jxrJdpKrZfVmgxekz,spotify:track:4Dgp0jxrJdpKrZfVmgxekz,christmas,TRUE,93.269,0.907,0.292,0.35,0.0331,-11.042,0.232,0.00000921
2018-12-24 20:36:03,Step Into Christmas,Elton John,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe),272393,https://i.scdn.co/image/5854f47af9cce564b438e49afad323325f122d10,https://open.spotify.com/track/3YQUpKTmtgPJf8u6ooi9KA,spotify:track:3YQUpKTmtgPJf8u6ooi9KA,christmas,TRUE,140.137,0.112,0.318,0.532,0.0357,-5.536,0.926,0.00000984
2018-12-24 20:36:03,Step Into Christmas,Elton John,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe),272393,https://i.scdn.co/image/5854f47af9cce564b438e49afad323325f122d10,https://open.spotify.com/track/3YQUpKTmtgPJf8u6ooi9KA,spotify:track:3YQUpKTmtgPJf8u6ooi9KA,christmas,TRUE,140.137,0.112,0.318,0.532,0.0357,-5.536,0.926,0.00000984
